,Name,metascore,userscore
423,Aliens Versus Predator: Extinction,65.0,7.85
424,Aliens in the Attic,58.0,6.7
425,Aliens vs. Predator,65.66666666666667,7.466666666666666
426,Aliens vs. Predator: Requiem,49.0,8.5
427,Aliens: Colonial Marines,45.333333333333336,3.733333333333333
428,Aliens: Fireteam Elite,69.0,6.533333333333334
429,Aliens: Infestation,76.0,8.1
430,All Grown Up! Express Yourself,49.0,7.8
431,All Zombies Must Die!,61.666666666666664,5.066666666666666
432,All-Pro Football 2K8,74.0,7.2
433,All-Star Baseball 2002,71.5,6.949999999999999
434,All-Star Baseball 2003,80.0,7.866666666666667
435,All-Star Baseball 2004,77.33333333333333,7.7
436,All-Star Baseball 2005,73.5,8.399999999999999
437,All-Star Fruit Racing,61.5,4.4
438,Allegiance,86.0,7.5
439,Alliance: Future Combat,43.0,8.4
440,Allods Online,69.0,6.0
441,Alone With You,77.0,7.300000000000001
442,Alone With You (2017),74.0,5.2
443,Alone in the Dark,49.75,5.15
444,Alone in the Dark: Illumination,19.0,1.3
445,Alone in the Dark: Inferno,69.0,5.7
446,Alone in the Dark: The New Nightmare,72.66666666666667,7.800000000000001
447,Alone in the Dark: The Trilogy 1+2+3,72.0,7.8
448,Alpha Black Zero: Intrepid Protocol,51.0,6.4
449,Alpha Polaris: A Horror Adventure Game,52.0,4.8
450,Alpha Prime,59.0,6.0
451,Alpha Protocol,66.33333333333333,7.233333333333333
452,AlphaBounce,78.0,5.9
453,Alphadia,53.0,6.3
454,Alphadia Genesis,60.0,7.4
455,Alter Echo,62.0,7.25
456,Alter Ego (2010),59.0,5.6
457,Altered Beast,40.0,6.7
458,Altered Beast: Guardian of the Realms,63.0,6.0
459,Alternativa,63.0,5.9
460,Altitude,79.0,8.5
461,Alundra,86.0,8.6
462,Alvin and the Chipmunks,31.5,6.266666666666667
463,Alwa's Awakening,71.0,7.3500000000000005
464,Alwa's Legacy,78.0,8.0
465,Always Sometimes Monsters,73.0,5.6
466,Amazing Discoveries In Outer Space,71.0,6.0
467,Amazing Island,59.0,7.0
468,Amazing Princess Sarah,72.0,5.7
469,Amazons & Aliens,48.0,5.0
470,Ambition: A Minuet in Power,75.0,8.8
471,America,50.0,7.4
472,America's Army,82.0,5.9
473,America's Army 3,70.0,7.7
474,America's Army: Rise of a Soldier,70.0,7.4
475,America's Army: Special Forces,85.0,8.3
476,America's Army: True Soldiers,43.0,6.7
477,America's Test Kitchen: Let's Get Cooking,87.0,6.3
478,American Bass Challenge,69.0,7.5
479,American Chopper,45.5,6.6000000000000005
480,American Chopper 2: Full Throttle,54.0,7.8
481,American Civil War: Take Command - Second Manassas,74.0,8.0
482,American Conquest: Divided Nation,53.0,7.0
483,American Conquest: Fight Back,66.0,8.4
484,American Fugitive,66.66666666666667,5.866666666666667
485,American Idol,40.0,4.433333333333334
486,American McGee Presents Bad Day LA,28.0,6.9
487,American McGee's Alice,85.0,7.9
488,American Truck Simulator,76.0,7.2
489,American Truck Simulator: New Mexico,80.0,8.0
490,Amnesia Collection,78.5,7.699999999999999
491,Amnesia: A Machine for Pigs,72.0,5.9
492,Amnesia: Memories,72.0,6.65
493,Amnesia: Rebirth,77.5,7.133333333333333
494,Amnesia: The Dark Descent,85.0,8.6
495,Amoebattle,68.0,7.1
496,Among Us,85.0,6.8
497,Among Us VR,82.0,7.2
